Volume,VWAP,Open,Close,High,Low,Timestamp,Transactions,Datetime
28780.0,225.9822,225.96,225.945,226.07,225.86,1704815580000,399,2024-01-09 15:53:00
26789.0,225.8284,225.97,225.93,225.99,225.6675,1704815640000,508,2024-01-09 15:54:00
28846.0,225.9602,225.9419,225.87,226.05,225.7969,1704815700000,404,2024-01-09 15:55:00
36492.0,225.9572,225.87,225.93,226.07,225.75,1704815760000,502,2024-01-09 15:56:00
62554.0,226.2458,225.9301,226.45,226.54,225.9,1704815820000,782,2024-01-09 15:57:00
36847.0,226.42,226.45,226.38,226.4911,226.29,1704815880000,548,2024-01-09 15:58:00
37992.0,226.3804,226.36,226.3125,226.475,226.23,1704815940000,602,2024-01-09 15:59:00
107307.0,226.3433,226.3,226.23,226.68,226.02,1704816000000,1181,2024-01-09 16:00:00
117772.0,226.4462,226.25,226.4399,226.65,226.19,1704816060000,1208,2024-01-09 16:01:00
71652.0,226.4865,226.395,226.46,226.62,226.33,1704816120000,854,2024-01-09 16:02:00
91431.0,226.6631,226.43,226.615,226.88,226.42,1704816180000,974,2024-01-09 16:03:00
131113.0,226.8182,226.66,226.6699,227.05,226.48,1704816240000,1219,2024-01-09 16:04:00
85661.0,226.588,226.6675,226.6584,226.7868,226.45,1704816300000,990,2024-01-09 16:05:00
93744.0,226.7671,226.6593,226.8799,226.89,226.6203,1704816360000,975,2024-01-09 16:06:00
46206.0,226.7185,226.807,226.68,226.845,226.55,1704816420000,672,2024-01-09 16:07:00
43392.0,226.5927,226.65,226.43,226.71,226.43,1704816480000,720,2024-01-09 16:08:00
91859.0,226.4395,226.43,226.375,226.7,226.17,1704816540000,970,2024-01-09 16:09:00
70163.0,226.1071,226.4292,226.065,226.44,225.94,1704816600000,937,2024-01-09 16:10:00
67208.0,225.9741,226.04,226.14,226.14,225.7801,1704816660000,697,2024-01-09 16:11:00
39140.0,225.9903,226.1031,225.99,226.14,225.8503,1704816720000,573,2024-01-09 16:12:00
45574.0,225.9902,226.0,226.15,226.18,225.86,1704816780000,501,2024-01-09 16:13:00
27384.0,226.1505,226.13,226.055,226.25,226.04,1704816840000,488,2024-01-09 16:14:00
35901.0,226.197,226.03,226.31,226.3899,226.0,1704816900000,574,2024-01-09 16:15:00
24986.0,226.2144,226.31,226.2784,226.3199,226.12,1704816960000,375,2024-01-09 16:16:00
17450.0,226.1802,226.25,226.2,226.2972,226.1,1704817020000,328,2024-01-09 16:17:00
16498.0,226.2445,226.2,226.3554,226.37,226.1201,1704817080000,361,2024-01-09 16:18:00
67220.0,226.4809,226.34,226.6,226.7499,226.31,1704817140000,700,2024-01-09 16:19:00
26516.0,226.5255,226.6,226.45,226.65,226.44,1704817200000,424,2024-01-09 16:20:00
48289.0,226.6427,226.5,226.78,226.7999,226.47,1704817260000,559,2024-01-09 16:21:00
50817.0,226.6931,226.7959,226.5134,226.8,226.48,1704817320000,652,2024-01-09 16:22:00
21096.0,226.6361,226.515,226.75,226.75,226.515,1704817380000,346,2024-01-09 16:23:00
30067.0,226.769,226.72,226.78,226.8399,226.72,1704817440000,320,2024-01-09 16:24:00
73356.0,226.9155,226.7943,226.97,227.0862,226.66,1704817500000,846,2024-01-09 16:25:00
55931.0,227.1673,226.95,227.28,227.36,226.95,1704817560000,754,2024-01-09 16:26:00
95343.0,227.4027,227.285,227.3517,227.54,227.1401,1704817620000,804,2024-01-09 16:27:00
49146.0,227.4318,227.335,227.455,227.55,227.335,1704817680000,590,2024-01-09 16:28:00
88923.0,227.6606,227.455,227.77,227.93,227.35,1704817740000,941,2024-01-09 16:29:00
102855.0,227.9115,227.78,227.9,228.0899,227.7201,1704817800000,1160,2024-01-09 16:30:00
44252.0,227.7127,227.85,227.5301,227.87,227.5301,1704817860000,642,2024-01-09 16:31:00
35209.0,227.52,227.55,227.5,227.6399,227.46,1704817920000,530,2024-01-09 16:32:00
36109.0,227.4635,227.515,227.4,227.56,227.35,1704817980000,575,2024-01-09 16:33:00
83941.0,227.2765,227.43,227.065,227.4599,227.0101,1704818040000,909,2024-01-09 16:34:00
62379.0,227.1028,227.03,227.13,227.3,226.9788,1704818100000,730,2024-01-09 16:35:00
37133.0,226.9274,227.1063,226.88,227.14,226.77,1704818160000,611,2024-01-09 16:36:00
29347.0,226.8036,226.8999,226.76,226.9,226.73,1704818220000,414,2024-01-09 16:37:00
32425.0,226.8033,226.73,226.75,226.8551,226.65,1704818280000,426,2024-01-09 16:38:00
31757.0,226.6552,226.7001,226.66,226.78,226.59,1704818340000,377,2024-01-09 16:39:00
56969.0,226.5368,226.6894,226.45,226.6894,226.44,1704818400000,598,2024-01-09 16:40:00
38827.0,226.4991,226.4401,226.52,226.5628,226.44,1704818460000,491,2024-01-09 16:41:00
22277.0,226.427,226.4509,226.45,226.523,226.36,1704818520000,387,2024-01-09 16:42:00
26527.0,226.5114,226.45,226.4799,226.62,226.42,1704818580000,384,2024-01-09 16:43:00
8500.0,226.4833,226.45,226.4583,226.5251,226.43,1704818640000,219,2024-01-09 16:44:00
20393.0,226.5718,226.4861,226.5175,226.69,226.48,1704818700000,426,2024-01-09 16:45:00
39647.0,226.3183,226.5399,226.335,226.5599,226.2,1704818760000,483,2024-01-09 16:46:00
20280.0,226.4594,226.3686,226.5,226.6,226.32,1704818820000,318,2024-01-09 16:47:00
17811.0,226.4829,226.5,226.51,226.61,226.43,1704818880000,284,2024-01-09 16:48:00
11630.0,226.3888,226.4907,226.3601,226.4907,226.31,1704818940000,246,2024-01-09 16:49:00
