,category,datetime,headline,id,image,related,source,summary,url
179,company,1706537521,Boeing still over a year away from resolving supply chain issues,125378166,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Timely access to components for Boeing's production line is getting ""better and better"" but the manufacturer is probably over a year away from completely resolving issues around component supplies, an executive said on Monday.  Boeing is adding an additional layer of oversight to the processes around the door plug for the 737 MAX 9 following the mid-air cabin blowout on an Alaska Air flight, Hulst added.",https://finnhub.io/api/news?id=ba5cec911595399035b7de1cee6265b7e05ecec522be1b29124f3e8a6a451bbd
180,company,1706537459,Gol airline gets court approval to borrow $350 mln in bankruptcy,125383347,,BA,Finnhub,"A U.S. bankruptcy judge onMonday allowed Brazilian airline Gol to borrow thefirst $350 million of its proposed bankruptcy financing, which acompany attorney said was desperately needed to...",https://finnhub.io/api/news?id=aa2be18e86af4ead3278b3617fdb98c4a15289823d72ec3515dd8a64d3fd23b7
181,company,1706535240,Will Improved Defense Deliveries Boost Boeing's (BA) Q4 Earnings?,125376824,https://media.zenfs.com/en/zacks.com/7a3bb699b166757d5def43fc64d10497,BA,Yahoo,Boeing's (BA) defense segment's Q4 results are likely to reflect adverse impacts of higher estimated costs from the VC-25B program amid benefits of higher delivery figures.,https://finnhub.io/api/news?id=22df31b8f6a0efdc86685dce07ee8dcae9e5b935a6b6b951071dd43b89a574fc
182,company,1706534954,Ryanair CEO has ‘a lot of confidence’ in Boeing chief David Calhoun,125377518,"https://media.cnn.com/api/v1/images/stellar/prod/240129102402-oleary-calhoun-split.jpg?c=16x9&q=w_800,c_fill",BA,Yahoo,"The CEO of Europe’s largest airline, who not so long ago described Boeing management as “headless chickens,” has come out in strong support of the beleaguered US planemaker, pushing back against criticism from several other carriers after this month’s mid-flight breakage on a Boeing aircraft.",https://finnhub.io/api/news?id=880e82e38f85098ec8d35ee74a8234d5074e60ddb699d87e3f4eb5eee9c4eed8
183,company,1706534147,Boeing under a microscope for safety issues as it reports results,125378169,https://media.zenfs.com/en/reuters-finance.com/5c84a2467eb78209bc0ac91dd7b31f0c,BA,Yahoo,"When Boeing CEO Dave Calhoun delivers the company's fourth-quarter results on Wednesday, he will be doing it while the planemaker is in the middle of its biggest safety crisis since the two fatal 737 MAX crashes in 2018 and 2019.  The company, long a symbol of America's manufacturing prowess, is in the crosshairs of regulators, politicians and airlines following a harrowing mid-air cabin panel blowout on a passenger-filled 737 MAX 9 jet operated by Alaska Airlines earlier this month.  Analysts say Boeing leaders will be trying to assure people that the company's focus is on aircraft safety and production quality.",https://finnhub.io/api/news?id=8b8624608f437b7c58a3c762509106c67c36fa39a2c1c7fd9b02e56abaa8751e
184,company,1706532866,"Boeing one incident away from 737 production halt, lessor says",125374102,https://media.zenfs.com/en/reuters.com/b36cf788a86ae0fe6392e828e8b4f644,BA,Yahoo,"One of the aircraft industry's most influential leaders believes Boeing will face a heavier regulatory backlash if there are further production snags such as the one suspected of causing a door plug blowout on an Alaska Airlines 737 MAX 9 jet.  If there is one more significant problem ""the FAA will stop (737) production"", Air Lease Corp Executive Chairman Steven Udvar-Hazy told reporters at the Airline Economics conference in Dublin on Monday, referring to the U.S. Federal Aviation Administration (FAA).  The FAA and Boeing were not immediately available for comment.",https://finnhub.io/api/news?id=96f4815d93edee308c850049da47f2cfcbaec49db36899154e429b69d364e61d
185,company,1706532687,"UPDATE 1-Boeing one incident away from 737 production halt, lessor says",125374103,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"One of the aircraft industry's most influential leaders believes Boeing will face a heavier regulatory backlash if there are further production snags such as the one suspected of causing a door plug blowout on an Alaska Airlines 737 MAX 9 jet.  If there is one more significant problem ""the FAA will stop (737) production"", Air Lease Corp Executive Chairman Steven Udvar-Hazy told reporters at the Airline Economics conference in Dublin on Monday, referring to the U.S. Federal Aviation Administration (FAA).  The FAA and Boeing were not immediately available for comment.",https://finnhub.io/api/news?id=be3817bc9ac2732ebeacb4f19910a747364ecaef3bd512c4e6be5f3cd9e1f4f7
186,company,1706532037,How many variants of 737 MAX planes does Boeing make?,125379284,,BA,Finnhub,"The U.S. Federal AviationAdministration barred Boeing from expanding theproduction of its best-selling 737 MAX aircraft last week, aftera mid-air cabin panel blowout forced an Alaska...",https://finnhub.io/api/news?id=eb216e032a492e8f5ef2d68e344f99b36d2c18a4da37bbb7037bf1c8fd9d3bc5
187,company,1706526840,"These Stocks Are Moving the Most Today: Boeing, Evergrande, SoFi, Microsoft, Apple, McGrath RentCorp, and More",125373033,https://s.yimg.com/ny/api/res/1.2/JJ79EeMsymLIoS8bXNI.sg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/Barrons.com/f7d6b590ac37b5cab26b6dc7ad0a5dde,BA,Yahoo,"Alaska Air and United Airlines resume flying Boeing 737 MAX 9 jets, Chinese property developer Evergrande Group is ordered to liquidate, and SoFi Technologies reports earnings Monday. Microsoft, Apple, Alphabet, Amazon.com, and Meta Platforms report this week.",https://finnhub.io/api/news?id=8ffd867dd05cf77b1a5d5696f6f612c959ba1b8579fda0c2bfd9688ed927949a
188,company,1706530932,Ryanair ticket prices experience turbulence after spat with booking websites,125374105,https://s.yimg.com/ny/api/res/1.2/oCxB.cZm3Jq5.iCY2lD9DQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02ODM-/https://s.yimg.com/os/creatr-uploaded-images/2024-01/e72a2770-be98-11ee-bdfe-6c72a89c2d74,BA,Yahoo,"The move by sites such as Booking.com, Kiwi and Kayak led to Ryanair slashing prices on some flights in a bid to fill seats.",https://finnhub.io/api/news?id=4efcfab55e159ae13f58a147795afabba063aca705390b3d92abb0421cb1c9ff
